0,1
1,1
2,1
40,1
70,1
ゲーム,1
用,1
BGM,1
曲,1
SE,1
依頼,1
閲覧,1
表題,1
よう,1
ターン,1
制,1
RPG,1
もの,1
想定,1
参考,1
下記,1
URL,1
記載,1
https,1
://,1
www,1
.,1
youtube,1
com,1
/,1
watch,1
?,1
v,1
=,1
oG,1
CWBXIym,1
[,1
提出,1
物,1
],1
:,1
上記,1
戦闘,1
開始,1
前,1
(,1
分,1
前後,1
),1
画面,1
ミニ,1
キャラ,1
カーソル,1
時,1
効果,1
音,1
数,1
秒,1
留意,1
点,1
実機,1
再生,1
状態,1
注意,1
上,1
ループ,1
ため,1
終端,1
先頭,1
違和感,1
形式,1
制作,1
データ,1
圧縮,1
品質,1
WAV,1
ファイル,1
不要,1
共,1
変換,1
OGG,1
こと,1
最終,1
的,1
フォーマット,1
決定,1
次第,1
お伝え,1
重要,1
事項,1
生成,1
AI,1
使用,1
禁止,1
Lancers,1
規約,1
納品,1
成果,1
著作,1
権,1
譲渡,1
者,1
人格,1
行使,1
継続,1
以上,1
用意,1
予定,1
案件,1
時間,1
縁,1
方,1
皆様,1
応募,1
お待ち,1
